Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude
2012-12-01 08:34:34,VR2W-121517,A69-9002-13585,,,36,ADC,Ybellrock,+37.48389,-76.74982
2012-12-01 08:39:31,VR2W-121517,A69-9002-13585,,,34,ADC,Ybellrock,+37.48389,-76.74982
2012-12-01 08:45:04,VR2W-121517,A69-9002-13585,,,33,ADC,Ybellrock,+37.48389,-76.74982
2012-12-01 08:47:34,VR2W-121517,A69-9002-13585,,,33,ADC,Ybellrock,+37.48389,-76.74982
2012-12-01 08:49:37,VR2W-121517,A69-9002-13585,,,33,ADC,Ybellrock,+37.48389,-76.74982
2012-12-01 08:52:07,VR2W-121517,A69-9002-13585,,,35,ADC,Ybellrock,+37.48389,-76.74982
2012-12-01 19:13:48,VR2W-121514,A69-9002-13585,,,42,ADC,YR18,+37.41932,-76.68966
2012-12-01 19:15:42,VR2W-121514,A69-9002-13585,,,40,ADC,YR18,+37.41932,-76.68966
2012-12-01 19:17:57,VR2W-121514,A69-9002-13585,,,43,ADC,YR18,+37.41932,-76.68966
2012-12-01 19:20:51,VR2W-121514,A69-9002-13585,,,45,ADC,YR18,+37.41932,-76.68966
2012-12-01 19:31:44,VR2W-121514,A69-9002-13585,,,48,ADC,YR18,+37.41932,-76.68966
2012-12-01 19:33:49,VR2W-121514,A69-9002-13585,,,49,ADC,YR18,+37.41932,-76.68966
2012-12-01 19:38:40,VR2W-121514,A69-9002-13585,,,37,ADC,YR18,+37.41932,-76.68966
2012-12-01 19:41:34,VR2W-121514,A69-9002-13585,,,54,ADC,YR18,+37.41932,-76.68966
2012-12-01 19:44:27,VR2W-121514,A69-9002-13585,,,53,ADC,YR18,+37.41932,-76.68966
2012-12-01 19:50:07,VR2W-121514,A69-9002-13585,,,51,ADC,YR18,+37.41932,-76.68966
2012-12-01 19:55:14,VR2W-121514,A69-9002-13585,,,50,ADC,YR18,+37.41932,-76.68966
2012-12-03 18:22:18,VR2W-121517,A69-9002-13586,,,42,ADC,Ybellrock,+37.48389,-76.74982
2012-12-03 18:24:30,VR2W-121517,A69-9002-13586,,,37,ADC,Ybellrock,+37.48389,-76.74982
2012-12-03 18:32:27,VR2W-121517,A69-9002-13586,,,44,ADC,Ybellrock,+37.48389,-76.74982
2012-12-03 18:34:26,VR2W-121517,A69-9002-13586,,,42,ADC,Ybellrock,+37.48389,-76.74982
2012-12-03 18:36:48,VR2W-121517,A69-9002-13586,,,42,ADC,Ybellrock,+37.48389,-76.74982
2012-12-03 18:38:34,VR2W-121517,A69-9002-13586,,,41,ADC,Ybellrock,+37.48389,-76.74982
2012-12-03 18:42:54,VR2W-121517,A69-9002-13586,,,40,ADC,Ybellrock,+37.48389,-76.74982
2012-12-03 18:56:40,VR2W-121517,A69-9002-13586,,,44,ADC,Ybellrock,+37.48389,-76.74982
